Notification types
Question asked	There is a question about your request.
City response added	A response has been added to the request.
Request overdue	A request in your department is overdue.
Request made	Your request has been submitted.
Request followed	You are now subscribed to this request.
Request due	A request in your department is due in 2 days or less.
Request closed	The request has been closed
Staff participant added	A request has been assigned to you
Request assigned	A request has been assigned to you
Public note added	A note has been added to this request by the requester.
Question answered	A question about this request has been answered by the requester.
