department name,PRR liaison,PRR backup
Administration for Children's Services,cpuiptuser000101@mailinator.com
Art Commission,cpuiptuser000107@mailinator.com
Board of Correction,cpuiptuser000113@mailinator.com
Board of Standards and Appeals,cpuiptuser000119@mailinator.com
Business Integrity Commission,cpuiptuser000125@mailinator.com
City Commission on Human Rights,cpuiptuser000131@mailinator.com
Civil Service Commission,cpuiptuser000137@mailinator.com
Civilian Complaint Review Board,cpuiptuser000143@mailinator.com
Commission to Combat Police Corruption,cpuiptuser000149@mailinator.com
Conflicts of Interest Board,cpuiptuser000155@mailinator.com
Department for the Aging,cpuiptuser000161@mailinator.com
Department of Buildings,cpuiptuser000167@mailinator.com
Department of City Planning,cpuiptuser000173@mailinator.com
Department of Citywide Administrative Services,cpuiptuser000179@mailinator.com
Department of Consumer Affairs,cpuiptuser000185@mailinator.com
Department of Correction,cpuiptuser000191@mailinator.com
Department of Cultural Affairs,cpuiptuser000197@mailinator.com
Department of Design and Construction,cpuiptuser000203@mailinator.com
Department of Education,cpuiptuser000209@mailinator.com
Department of Environmental Protection,cpuiptuser000215@mailinator.com
Department of Finance,cpuiptuser000221@mailinator.com
Department of Health and Mental Hygiene,cpuiptuser000227@mailinator.com
Department of Homeless Services,cpuiptuser000233@mailinator.com
Department of Housing Preservations and Development,cpuiptuser000239@mailinator.com
Department of Information Technology and Telecommunications,cpuiptuser000245@mailinator.com
Department of Investigation,cpuiptuser000251@mailinator.com
Department of Parks and Recreation,cpuiptuser000257@mailinator.com
Department of Probation,cpuiptuser000263@mailinator.com
Department of Records and Information Services,cpuiptuser000269@mailinator.com
Department of Transporation,cpuiptuser000275@mailinator.com
Department of Youth and Community Development,cpuiptuser000281@mailinator.com
Design Commission,cpuiptuser000287@mailinator.com
Equal Employment Practices Commission,cpuiptuser000293@mailinator.com
Health and Hospitals Corporation,cpuiptuser000299@mailinator.com
Housing Recovery Operations,cpuiptuser000305@mailinator.com
Human Resources Administration,cpuiptuser000311@mailinator.com
Landmarks Preservation Commission,cpuiptuser000317@mailinator.com
Law Department,cpuiptuser000323@mailinator.com
Loft Board,cpuiptuser000329@mailinator.com
Mayor's Office of Contract Services,cpuiptuser000335@mailinator.com
Mayor's Office of Media and Entertainment,cpuiptuser000341@mailinator.com
New York City Fire Department,cpuiptuser000347@mailinator.com
New York City Housing Authority,cpuiptuser000353@mailinator.com
Office of Administrative Trials and Hearings,cpuiptuser000359@mailinator.com
Office of the Chief Medical Examiner,cpuiptuser000365@mailinator.com
Office of Emergency Management,cpuiptuser000371@mailinator.com
Office of Environmental Remediation,cpuiptuser000377@mailinator.com
Office of Labor Relations,cpuiptuser000383@mailinator.com
Office of Long-Term Planning & Sustainability,cpuiptuser000389@mailinator.com
Office of Management and Budget,cpuiptuser000395@mailinator.com
Office of Payroll Administration,cpuiptuser000401@mailinator.com
Office of the Actuary,cpuiptuser000407@mailinator.com
Office of the Mayor,cpuiptuser000413@mailinator.com
Office of the Special Narcotics Prosecutor,cpuiptuser000419@mailinator.com
Police Department,cpuiptuser000425@mailinator.com
Procurement Policy Board,cpuiptuser000431@mailinator.com
School Construction Authority,cpuiptuser000437@mailinator.com
Small Business Services,cpuiptuser000443@mailinator.com
