department name,PRR liaison,PRR backup
City Commission on Human Rights,bladerunnerperftest01@dsny.nyc.gov
Department of Education,bladerunnerperftest31@dsny.nyc.gov
Department of Information Technology and Telecommunications,bladerunnerperftest61@dsny.nyc.gov
Department of Records and Information Services,bladerunnerperftest91@dsny.nyc.gov
Mayor's Office of Contract Services,bladerunnerperftest121@dsny.nyc.gov
Mayor's Office of Media and Entertainment,bladerunnerperftest151@dsny.nyc.gov
Office of Administrative Trials and Hearings,bladerunnerperftest181@dsny.nyc.gov
Office of the Chief Medical Examiner,bladerunnerperftest211@dsny.nyc.gov
Office of Emergency Management,bladerunnerperftest241@dsny.nyc.gov
Office of the Mayor,bladerunnerperftest271@dsny.nyc.gov
Administration for Children's Services,bladerunnerperftest301@dsny.nyc.gov
Art Commission,bladerunnerperftest302@dsny.nyc.gov
Board of Correction,bladerunnerperftest303@dsny.nyc.gov
Board of Standards and Appeals,bladerunnerperftest304@dsny.nyc.gov
Business Integrity Commission,bladerunnerperftest305@dsny.nyc.gov
Civil Service Commission,bladerunnerperftest306@dsny.nyc.gov
Civilian Complaint Review Board,bladerunnerperftest307@dsny.nyc.gov
Commission to Combat Police Corruption,bladerunnerperftest308@dsny.nyc.gov
Conflicts of Interest Board,bladerunnerperftest309@dsny.nyc.gov
Department for the Aging,bladerunnerperftest310@dsny.nyc.gov
Department of Buildings,bladerunnerperftest311@dsny.nyc.gov
Department of City Planning,bladerunnerperftest312@dsny.nyc.gov
Department of Citywide Administrative Services,bladerunnerperftest313@dsny.nyc.gov
Department of Consumer Affairs,bladerunnerperftest314@dsny.nyc.gov
Department of Correction,bladerunnerperftest315@dsny.nyc.gov
Department of Cultural Affairs,bladerunnerperftest316@dsny.nyc.gov
Department of Design and Construction,bladerunnerperftest317@dsny.nyc.gov
Department of Environmental Protection,bladerunnerperftest318@dsny.nyc.gov
Department of Finance,bladerunnerperftest319@dsny.nyc.gov
Department of Health and Mental Hygiene,bladerunnerperftest320@dsny.nyc.gov
Department of Homeless Services,bladerunnerperftest321@dsny.nyc.gov
Department of Housing Preservations and Development,bladerunnerperftest322@dsny.nyc.gov
Department of Investigation,bladerunnerperftest323@dsny.nyc.gov
Department of Parks and Recreation,bladerunnerperftest324@dsny.nyc.gov
Department of Probation,bladerunnerperftest325@dsny.nyc.gov
Department of Transporation,bladerunnerperftest326@dsny.nyc.gov
Department of Youth and Community Development,bladerunnerperftest327@dsny.nyc.gov
Design Commission,bladerunnerperftest328@dsny.nyc.gov
Equal Employment Practices Commission,bladerunnerperftest329@dsny.nyc.gov
Health and Hospitals Corporation,bladerunnerperftest330@dsny.nyc.gov
Housing Recovery Operations,bladerunnerperftest331@dsny.nyc.gov
Human Resources Administration,bladerunnerperftest332@dsny.nyc.gov
Landmarks Preservation Commission,bladerunnerperftest333@dsny.nyc.gov
Law Department,bladerunnerperftest334@dsny.nyc.gov
Loft Board,bladerunnerperftest335@dsny.nyc.gov
New York City Fire Department,bladerunnerperftest336@dsny.nyc.gov
New York City Housing Authority,bladerunnerperftest337@dsny.nyc.gov
Office of Environmental Remediation,bladerunnerperftest338@dsny.nyc.gov
Office of Labor Relations,bladerunnerperftest339@dsny.nyc.gov
Office of Long-Term Planning & Sustainability,bladerunnerperftest340@dsny.nyc.gov
Office of Management and Budget,bladerunnerperftest341@dsny.nyc.gov
Office of Payroll Administration,bladerunnerperftest342@dsny.nyc.gov
Office of the Actuary,bladerunnerperftest343@dsny.nyc.gov
Office of the Special Narcotics Prosecutor,bladerunnerperftest344@dsny.nyc.gov
Police Department,bladerunnerperftest345@dsny.nyc.gov
Procurement Policy Board,bladerunnerperftest346@dsny.nyc.gov
School Construction Authority,bladerunnerperftest347@dsny.nyc.gov
Small Business Services,bladerunnerperftest348@dsny.nyc.gov
